model_id,paper_label,architecture,training_supervision,seeds_or_components,aggregation,trainable_parameters,status,checkpoint_sha256_or_definition
geodssop_w3,"GeoDSSOP / GeoDSSOP-PDB","frozen ESM-2 650M + PDB GVP3 graph + gated fusion + LiteTCN","MD-iRED + S-OPPE equal-source W3","20260801;20260802;20260803",mean_residue_predictions_then_score,1116753,main_model,"a5bccb7725292ddf303c905e6c144fde1b38458067f4f828f63eafa3901fafac;aa78f9e833adebd4ef19d91fa424b33648df8dba0fad05f69bb924d65d6002b3;52f8155e99e9164db3f94d15becb2a14b68d5c4a4273cf3f6f50546eecb3401c"
geodssop_md_only,"GeoDSSOP MD-only","same GeoDSSOP architecture",MD-iRED_only,"20260801;20260802;20260803",mean_residue_predictions_then_score,1116753,training_source_variant,"4dc505246ef666e57a3823564c9f773331fe93cc306683f0ca9edd3b066e739c;2b59f480ca8bb9062bd7285103c65d109b5d83c9c2c8fca81773b6238dbcb59e;a15ee130e1e1796aa80dafd5904980d70649c7aedf287cbca862228b4b91e323"
geodssop_soppe_only,"GeoDSSOP S-OPPE-only","same GeoDSSOP architecture",S-OPPE_only,"20260801;20260802;20260803",mean_residue_predictions_then_score,1116753,training_source_variant,"fc277e655a86a0f54f7acd3f0b0961a4221ff9613d44ec7700e69d52f7ef0394;ac233a45dd2f71d81d7d2d79dea8437d7818ee1635d1a7d23197aa27553e36c6;d3a48faa8caf3553a50c00f2a014652bfc9e243b46df5a48a8900b10c88b622b"
geodssop_c0_blend,"C0 blend","fixed logit blend of GeoDSSOP MD-only and W3 ensembles","no additional training","MD-only ensemble;W3 ensemble","MD-only:W3=3:1 logit blend",,frozen_deployment_variant,"fixed formula; no separate checkpoint"
geodssop_nostruct,"NoStruct","GeoDSSOP fusion/prediction path with structural message fixed to exact zero",W3,"20260801;20260802;20260803",mean_of_seed_metrics,1116753,matched_structural_ablation,"721131d7e66318f64460becb986d09b6a3d8b2ec9d1966a2ad8de85dca7e2a7d;d2d426e6087631d586c9de72d1c4128b9910143f77ad24de82adb90c8110e26a;64dd18852eb4ce560ebb473995b9838318eaec924cb21be05bc018c2f096364e"
geodssop_shuffleedge,"ShuffleEdge","GeoDSSOP with within-protein rewiring of spatial-only edges while retaining node/edge rows and outdegree",W3,"20260801;20260802;20260803",mean_of_seed_metrics,1116753,matched_structural_ablation,"e9be41c663a1ea38472cea8826b34c059e8c3fbca2ef4159227de10cdf2cad1c;123d9dd4412ce08d17ca13fdad2f7b0f89e20d8797cd0a28a2deb09b75ea3544;b58765741222aeeb9b5cd7fb189b7902c944423bb6d03302e27ddb184856d7f1"
b0_w0,"B0","22-token residue embedding + five-layer LiteTCN",MD-iRED_only,"20260801;20260802;20260803",mean_residue_predictions_then_score,,historical_sequence_baseline,"ed7b99e079aaa43e7ab21ef651a5090d853f7c688415d2177e269c358a808ef4;c7d86ea8cdd123770b3bb92db83f69120098ae92949bd288656e4550d6493418;e58fde42c41dea8af7f07f5746177629abe8314462e481e28c5fc800952f787f"
soppcl_archived,"SOPPCL archived reference","ESM-2 + HMM sequence model from archived SOPPCL predictions","S-OPPE/experimental lineage as described by SOPPCL",archived_predictions,single_archived_prediction,,historical_comparator,"predictions frozen in H1 evaluation artifact; not a GeoDSSOP checkpoint"
nmr_clean24_c2,"clean24-C2 adapter","frozen MD-only/W3 experts plus NMR26 residual adapter",NMR_clean24,C2_all_fit,single_checkpoint,,rejected_for_unknown_protein_deployment,46dd8ed525ca586d5600bb84580a1af0ef0f27b3cd714d718895a39bce0dfc33
nmr_full26_c2,"full26-C2 adapter","frozen MD-only/W3 experts plus NMR26 residual adapter",NMR_full26,C2_all_fit,single_checkpoint,,rejected_for_unknown_protein_deployment,7371e2404104ef9c8ebaf58b4a2e43e53318904e93f521cbf5b2c8689652a9c4
